file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/47/sndLHC.Genie-TGeant4_dig.root, runId: 1752483004, local_event: 40, eventId: 1, earliest veto hit time: 0.54 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/48/sndLHC.Genie-TGeant4_dig.root, runId: 1752482987, local_event: 35, eventId: 1, earliest veto hit time: 0.79 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/49/sndLHC.Genie-TGeant4_dig.root, runId: 1752483009, local_event: 36, eventId: 1, earliest veto hit time: 0.95 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/49/sndLHC.Genie-TGeant4_dig.root, runId: 1752483009, local_event: 53, eventId: 1, earliest veto hit time: 0.67 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/50/sndLHC.Genie-TGeant4_dig.root, runId: 1752483037, local_event: 59, eventId: 1, earliest veto hit time: 0.87 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/51/sndLHC.Genie-TGeant4_dig.root, runId: 1752483027, local_event: 19, eventId: 1, earliest veto hit time: 0.86 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/52/sndLHC.Genie-TGeant4_dig.root, runId: 1752483022, local_event: 5, eventId: 1, earliest veto hit time: 0.91 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/52/sndLHC.Genie-TGeant4_dig.root, runId: 1752483022, local_event: 54, eventId: 1, earliest veto hit time: 0.67 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/52/sndLHC.Genie-TGeant4_dig.root, runId: 1752483022, local_event: 64, eventId: 1, earliest veto hit time: 0.87 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/53/sndLHC.Genie-TGeant4_dig.root, runId: 1752483036, local_event: 9, eventId: 1, earliest veto hit time: 0.71 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/54/sndLHC.Genie-TGeant4_dig.root, runId: 1752483040, local_event: 3, eventId: 1, earliest veto hit time: 0.63 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/54/sndLHC.Genie-TGeant4_dig.root, runId: 1752483040, local_event: 44, eventId: 1, earliest veto hit time: 0.48 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/54/sndLHC.Genie-TGeant4_dig.root, runId: 1752483040, local_event: 58, eventId: 1, earliest veto hit time: 0.70 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/55/sndLHC.Genie-TGeant4_dig.root, runId: 1752483044, local_event: 7, eventId: 1, earliest veto hit time: 0.53 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/56/sndLHC.Genie-TGeant4_dig.root, runId: 1752483020, local_event: 4, eventId: 1, earliest veto hit time: 0.96 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/56/sndLHC.Genie-TGeant4_dig.root, runId: 1752483020, local_event: 49, eventId: 1, earliest veto hit time: 0.81 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/56/sndLHC.Genie-TGeant4_dig.root, runId: 1752483020, local_event: 63, eventId: 1, earliest veto hit time: 0.89 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/57/sndLHC.Genie-TGeant4_dig.root, runId: 1752483028, local_event: 16, eventId: 1, earliest veto hit time: 0.53 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/57/sndLHC.Genie-TGeant4_dig.root, runId: 1752483028, local_event: 48, eventId: 1, earliest veto hit time: 0.34 [ns]
